country,Region,Surface area (km2),Population in thousands (2017),GDP per capita (current US$),Agricultural production index ,International trade: Imports (million US$)
Afghanistan,SouthernAsia,652864,35530,623.2,125,3568
Albania,SouthernEurope,28748,2930,3984.2,134,4669
Algeria,NorthernAfrica,2381741,41318,4154.1,160,47091
Angola,MiddleAfrica,1246700,29784,4714.1,175,8790
Antigua and Barbuda,Caribbean,442,102,14764.5,88,491
Argentina,SouthAmerica,2780400,44271,14564.5,119,55610
Armenia,WesternAsia,29743,2930,3489.1,135,3230
Australia,Oceania,7692060,24451,51352.2,111,189406
Austria,WesternEurope,83871,8736,44117.7,108,149299
Azerbaijan,WesternAsia,86600,9828,5438.7,131,8532
Bahamas,Caribbean,13940,395,22817.2,132,2904
Bahrain,WesternAsia,771,1493,22600.2,167,14749
Bangladesh,SouthernAsia,147570,164670,1207.9,141,52624
Barbados,Caribbean,431,286,15429.4,88,1621
Belarus,EasternEurope,207600,9468,5750.8,122,27464
Belgium,WesternEurope,30528,11429,40277.8,108,372713
Belize,CentralAmerica,22966,375,4789.4,97,952
Benin,WesternAfrica,114763,11176,779.1,152,2630
Bermuda,NorthernAmerica,53,61,94399.9,115,971
Bhutan,SouthernAsia,38394,808,2677.1,98,1688
Bolivia (Plurinational State of),SouthAmerica,1098581,11052,3076.8,142,8374
Bosnia and Herzegovina,SouthernEurope,51209,3507,4265,96,9130
Botswana,SouthernAfrica,582000,2292,6360.6,110,6103
Brazil,SouthAmerica,8515767,209288,8528.3,135,137552
British Virgin Islands,Caribbean,151,31,30144.5,103,444
Brunei Darussalam,South-easternAsia,5765,429,30552.7,157,2679
Bulgaria,EasternEurope,111002,7085,6846.8,117,28875
Burkina Faso,WesternAfrica,272967,19193,611.1,131,3699
Burundi,EasternAfrica,27830,10864,244.6,109,625
Cabo Verde,WesternAfrica,4033,546,3080.2,98,485
Cambodia,South-easternAsia,181035,16005,1158.7,175,15313
Cameroon,MiddleAfrica,475650,24054,1217.3,155,4899
Canada,NorthernAmerica,9984670,36624,43205.6,109,402954
Cayman Islands,Caribbean,264,62,62132,104,991
Central African Republic,MiddleAfrica,622984,4659,333.2,114,147
Chad,MiddleAfrica,1284000,14900,713,146,1371
Chile,SouthAmerica,756102,18055,13416.2,111,58804
"China, Hong Kong SAR",EasternAsia,1106,7365,42431,34,547124
"China, Macao SAR",EasternAsia,30,623,78586.4,86,8924
China,EasternAsia,9600000,1409517,8109.1,132,1588696
Colombia,SouthAmerica,1141748,49066,6056.1,114,44831
Comoros,EasternAfrica,2235,814,1368.9,107,193
Congo,MiddleAfrica,342000,5261,1838.1,106,9793
Cook Islands,Polynesia,236,17,14118.7,91,98
Costa Rica,CentralAmerica,51100,4906,11015,127,15322
Croatia,SouthernEurope,56594,4189,11479.4,91,21830
Cuba,Caribbean,109884,11485,7656.6,100,4911
Cyprus,WesternAsia,9251,1180,21941.9,80,6604
Czechia,EasternEurope,78868,10618,17561.7,102,140316
Democratic People's Republic of Korea,EasternAsia,120538,25491,648,104,2757
Democratic Republic of the Congo,MiddleAfrica,2344858,81340,486.2,104,5906
Denmark,NorthernEurope,42921,5734,53149.3,105,85133
Djibouti,EasternAfrica,23200,957,1956.3,133,987
Dominica,Caribbean,750,74,7051.1,110,214
Dominican Republic,Caribbean,48671,10767,6373.6,136,22725
Ecuador,SouthAmerica,257217,16625,6205.1,118,16189
Egypt,NorthernAfrica,1002000,97553,3452.3,120,58053
El Salvador,CentralAmerica,21041,6378,4219.4,111,9855
Equatorial Guinea,MiddleAfrica,28052,1268,16344.1,117,5456
Eritrea,EasternAfrica,117600,5069,914.9,109,3325
Estonia,NorthernEurope,45227,1310,17112,136,15759
Ethiopia,EasternAfrica,1104300,104957,602.8,158,19121
Fiji,Melanesia,18272,906,4921.9,88,2316
Finland,NorthernEurope,338440,5523,42148.1,101,60502
France,WesternEurope,551500,64980,36304.2,103,560555
French Polynesia,Polynesia,4000,283,18161,98,1491
Gabon,MiddleAfrica,267668,2025,7960.7,97,2930
Gambia,WesternAfrica,11295,2101,473.2,82,471
Georgia,WesternAsia,69700,3912,3491.4,85,7236
Germany,WesternEurope,357376,82114,41686.2,111,1060672
Ghana,WesternAfrica,238537,28834,1355.6,144,11939
Greece,SouthernEurope,131957,11160,17788,86,47595
Greenland,NorthernAmerica,2166086,56,36976.7,99,623
Grenada,Caribbean,345,108,8933.8,103,350
Guatemala,CentralAmerica,108889,16914,3903.5,158,16987
Guinea-Bissau,WesternAfrica,36125,1861,530,137,212
Guinea,WesternAfrica,245857,12717,703.9,130,2082
Guyana,SouthAmerica,214969,778,4278.8,142,1625
Haiti,Caribbean,27750,10981,793.7,163,3316
Honduras,CentralAmerica,112492,9265,2521.9,122,8448
Hungary,EasternEurope,93024,9722,12350.6,99,92044
Iceland,NorthernEurope,103000,335,50936,117,5703
India,SouthernAsia,3287263,1339180,1614.2,143,356705
Indonesia,South-easternAsia,1910931,263991,3346.5,139,135653
Iran (Islamic Republic of),SouthernAsia,1628750,81163,5038.1,106,35333
Iraq,WesternAsia,435052,38275,4509,123,45831
Ireland,NorthernEurope,69797,4762,60513.6,102,76997
Israel,WesternAsia,22072,8322,37129.4,112,65803
Italy,SouthernEurope,302073,59360,30462.4,89,404578
Jamaica,Caribbean,10990,2890,5105.8,102,4767
Japan,EasternAsia,377930,127484,34628.7,96,606924
Jordan,WesternAsia,89318,9702,4940.1,134,19207
Kazakhstan,CentralAsia,2724902,18204,10312.1,126,25175
Kenya,EasternAfrica,591958,49700,1376.7,126,14109
Kiribati,Micronesia,726,116,1442.9,61,116
Kuwait,WesternAsia,17818,4136,29303.9,199,30825
Kyrgyzstan,CentralAsia,199949,6045,1106.4,108,3844
Lao People's Democratic Republic,South-easternAsia,236800,6858,1850.2,193,4513
Latvia,NorthernEurope,64573,1950,13704.1,130,13596
Lebanon,WesternAsia,10452,6082,8571.4,95,20409
Lesotho,SouthernAfrica,30355,2233,940.6,101,1727
Liberia,WesternAfrica,111369,4732,455.9,104,727
Libya,NorthernAfrica,1676198,6375,5488.2,113,8876
Lithuania,NorthernEurope,65286,2890,14383.7,125,27501
Luxembourg,WesternEurope,2586,584,100160.8,98,19124
Madagascar,EasternAfrica,587295,25571,401.8,119,2965
Malawi,EasternAfrica,118484,18622,372.9,149,1649
Malaysia,South-easternAsia,330323,31624,9768.4,122,168375
Maldives,SouthernAsia,300,436,9446.5,65,2128
Mali,WesternAfrica,1240192,18542,744.3,154,2510
Malta,SouthernEurope,315,431,23280.7,96,7182
Marshall Islands,Micronesia,181,53,3452.6,115,86
Mauritania,WesternAfrica,1030700,4420,1235,125,2174
Mauritius,EasternAfrica,1969,1265,9040.9,96,4655
Mexico,CentralAmerica,1964375,129163,8980.9,120,387064
Micronesia (Federated States of),Micronesia,702,106,3015.2,99,40
Mongolia,EasternAsia,1564116,3076,3973.4,147,3358
Montenegro,SouthernEurope,13812,629,6424.1,66,2263
Montserrat,Caribbean,103,5,11553.4,103,36
Morocco,NorthernAfrica,446550,35740,2919.3,130,41696
Mozambique,EasternAfrica,799380,29669,529.2,137,5295
Myanmar,South-easternAsia,676577,53371,1161.5,130,15696
Namibia,SouthernAfrica,824116,2534,4673.6,88,6721
Nepal,SouthernAsia,147181,29305,724.5,139,5249
Netherlands,WesternEurope,41542,17036,44332.1,115,420969
New Caledonia,Melanesia,18575,276,33965.7,102,2422
New Zealand,Oceania,268107,4706,38294.3,116,36423
Nicaragua,CentralAmerica,130373,6218,2086.9,130,5927
Niger,WesternAfrica,1267000,21477,359,148,1861
